team,player,pos_x,pos_y,pos_z,smooth_x_speed,smooth_y_speed,event_player,playing_direction_event
2,20,2.1,0.56,,-0.95,0.26,20,True
2,8,-50.53,-4.78,,-0.45,0.26,20,True
2,22,7.11,24.06,,5.0,-1.99,20,True
2,4,-13.9,-27.34,,2.98,1.58,20,True
1,5,-5.78,-22.18,,3.9,1.53,20,True
1,15,-33.22,-3.07,,4.63,-0.15,20,True
1,3,-14.92,14.73,,4.01,-0.56,20,True
1,21,5.46,14.67,,1.6,-6.76,20,True
1,14,-26.82,-14.61,,3.89,1.13,20,True
2,12,-25.8,-1.66,,4.21,-0.42,20,True
1,10,2.53,0.58,,-2.81,-0.38,20,True
2,13,-15.94,16.81,,3.94,-1.93,20,True
1,18,-22.24,-7.59,,4.07,-0.12,20,True
2,1,-32.62,-16.5,,4.74,2.88,20,True
1,2,31.21,-0.34,,2.4,0.47,20,True
1,16,1.76,-12.34,,6.09,2.74,20,True
1,7,1.15,0.89,,3.27,2.45,20,True
1,9,-11.23,4.83,,6.33,-0.6,20,True
2,11,-15.59,4.2,,5.15,-0.43,20,True
2,6,-5.91,3.26,,6.94,-0.18,20,True
2,17,-34.64,5.37,,4.94,-0.7,20,True
2,19,-22.09,-26.03,,4.13,2.29,20,True
0,0,1.68,0.42,2.89,10.27,-1.52,20,True
