team,player,pos_x,pos_y,pos_z,smooth_x_speed,smooth_y_speed,event_player,playing_direction_event
1,1,-34.78,-3.73,0.0,1.08,0.15,7,False
1,19,-30.09,-15.52,0.0,1.42,-0.19,7,False
1,11,-40.05,-6.86,0.0,1.17,0.22,7,False
2,6,18.9,-2.28,0.0,-0.24,0.02,7,False
2,21,-34.92,1.35,0.0,1.15,0.32,7,False
1,3,-32.12,-19.01,0.0,1.68,-1.48,7,False
2,22,-38.38,11.39,0.0,0.58,1.49,7,False
2,15,-22.53,-23.87,0.0,1.82,-0.65,7,False
1,13,-34.82,-24.0,0.0,0.51,-0.67,7,False
1,10,-31.44,-26.01,0.0,2.96,-0.59,7,False
1,14,-40.71,-0.37,0.0,2.49,0.69,7,False
2,8,-23.29,6.1,0.0,0.44,0.06,7,False
2,12,-33.13,-10.09,0.0,-1.36,-1.39,7,False
1,4,-47.87,-0.79,0.0,0.87,-0.13,7,False
2,20,-14.79,-8.4,0.0,0.62,-0.12,7,False
1,9,-19.43,-8.7,0.0,-0.8,-0.4,7,False
2,7,-24.94,-28.81,0.0,0.81,0.92,7,False
1,18,-35.38,6.3,0.0,0.75,-0.09,7,False
1,5,-39.72,3.29,0.0,1.0,0.56,7,False
2,2,-34.99,-28.7,0.0,1.33,-2.46,7,False
2,16,-40.94,-1.12,0.0,0.8,0.83,7,False
2,17,-32.66,-20.81,0.0,0.81,0.89,7,False
0,0,-24.66,-27.66,0.1,2.69,4.63,7,False
